id,yq_session_id,planet_a_id,planet_b_id,score,recorded_at,created_at,updated_at,strategy,strategy_bin,duration
03454b96-556e-4e0e-86c6-5e8d9811351b,yq-msgs9wqj,9b716075-3e92-4797-abea-3bbbecf5401f,e7e1b143-1f2f-4fb9-9213-a75fb2347d71,66,2026-08-06 00:36:17.282164+00,2026-08-06 00:36:17.282164+00,2026-08-06 00:36:23.693889+00,"Looking at each other, thing & NO muscle artefact.",mutual_gaze,6.6
05047056-be71-4655-b5aa-18d139159d63,yq-msgrtwl6,9b716075-3e92-4797-abea-3bbbecf5401f,b0ecf64b-150b-4c94-b38c-bd07248d174c,4,2026-08-06 00:26:10.25598+00,2026-08-06 00:26:10.25598+00,2026-08-06 00:26:53.361403+00,Close eyes and thinking about the best possible strategy.,closed_eye_stillness,0.4
09c77cd2-1fe0-4420-9dec-762d6821b673,yq-msguemqu,4561bba0-a106-4e74-b14d-66d9bafe5d63,91aaa99c-e838-4642-8c36-fa5337a2fbb0,22,2026-08-06 01:35:54.892125+00,2026-08-06 01:35:54.892125+00,2026-08-06 01:36:03.02048+00,Listening to the video news beat and marking it with hands,rhythmic_motor_sync,2.2
0f3cd15d-68e5-47f3-82a9-d7d9838235ae,yq-msgr0t32,979813fb-678b-4d41-80da-63122f45d852,2c853b78-735e-4a6d-b88b-01abe6e93849,37,2026-08-06 00:05:52.088509+00,2026-08-06 00:05:52.088509+00,2026-08-06 00:06:34.238523+00,Idiosyncratically,shared_mental_content,3.7
10bb7e31-9229-4dd1-a5fc-ec794c893533,yq-msguwtc8,b0ed296f-2933-4bed-a2d1-3ff009740cff,6b41a36a-61f6-4379-99b1-de937acd5028,55,2026-08-06 01:51:35.950276+00,2026-08-06 01:51:35.950276+00,2026-08-06 01:51:35.950276+00,,,5.5
193817ec-0ca5-4ff4-9a42-046471243967,yq-msgrmbfr,390e3ead-55f4-411a-8805-e6ed1e019ecf,f5e683ec-e42a-4da5-8149-7595fdff2969,63,2026-08-06 00:21:12.04073+00,2026-08-06 00:21:12.04073+00,2026-08-06 00:21:18.641033+00,Silently thinking about our secret lab crush.,shared_mental_content,6.3
21f1e85e-b440-46d7-a849-0cb1e293cd8a,yq-msgs0t0q,9dba486a-dd30-4730-9d33-473e751a3427,502516fc-1a75-4b76-9811-f340e4b62ecd,55,2026-08-06 00:29:37.496127+00,2026-08-06 00:29:37.496127+00,2026-08-06 00:30:08.287938+00,"Thinking of the same animal silently, while looking at each other.",mutual_gaze,5.5
2679748c-bc82-4167-9300-5edd18505239,yq-msgseyte,547f97ab-6f68-4e57-a70c-73e3ccadf77f,d8a52b7b-139f-42a9-9dd3-50dfd71a0c97,33,2026-08-06 00:41:32.5597+00,2026-08-06 00:41:32.5597+00,2026-08-06 00:43:14.376895+00,Thinking of the same tree at our office.,shared_mental_content,3.3
2799f73a-0b91-4bae-b92c-94b579e2960d,yq-msgv2skq,38e15883-78ec-44af-b154-bddd1823cd21,02535f85-c621-4425-88d0-e5dcaef2dd72,72,2026-08-06 01:53:56.313031+00,2026-08-06 01:53:56.313031+00,2026-08-06 01:53:56.313031+00,,,7.2
29fc9b6a-2866-4f92-9e50-42392ccd4639,yq-msgv533o,698c379f-15ff-4bd5-b01b-e8f30d376a7f,26db6aec-3773-4689-ad8e-fe753d2140c6,35,2026-08-06 01:56:47.59838+00,2026-08-06 01:56:47.59838+00,2026-08-06 01:56:47.59838+00,,,3.5
